name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
webpack-contrib_copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin,Copy files and directories with webpack,873,2124,2124,JavaScript,200,545,97,-1,-1,-1
aic-sri-international_aic-praise,https://github.com/aic-sri-international/aic-praise,SRI International's AIC PRAiSE (Probabilistic Reasoning As Symbolic Evaluation) Library (for Java 1.8+),79656,10,10,Java,2,1655,23,-1,-1,-1
catseye_SixtyPical,https://github.com/catseye/SixtyPical,A 6502-like programming language with advanced static analysis,976,14,14,Python,0,642,2,-1,-1,-1
openstack_os-client-config,https://github.com/openstack/os-client-config,Unified config handling for client libraries and programs,1313,39,39,Python,10,1594,97,-1,-1,-1
gsantner_dandelion,https://github.com/gsantner/dandelion,a diaspora* client for Android (webview based),10985,86,86,Java,36,1723,39,-1,-1,-1
Pozas91_MDO-MOA,https://github.com/Pozas91/MDO-MOA,"Repositorio para MOA, usado en la asignatura de Minería de Datos Online",30386,0,0,Java,0,1029,50,-1,-1,-1
Topapo_meme,https://github.com/Topapo/meme,meme,396,0,0,JavaScript,0,574,3,-1,-1,-1
buckelieg_db-fn,https://github.com/buckelieg/db-fn,Functional style programing over plain JDBC,545,0,0,Java,0,616,3,-1,-1,-1
digitallinguistics_api,https://github.com/digitallinguistics/api,Source code for the DLx database API,3295,1,1,JavaScript,0,791,3,-1,-1,-1
phinajs_phina.js,https://github.com/phinajs/phina.js,phina.js is game library,5698,258,258,JavaScript,43,1325,31,-1,-1,-1
sendgrid_sendgrid-python,https://github.com/sendgrid/sendgrid-python,"The Official Twilio SendGrid Led, Community Driven Python API Library",1711,781,781,Python,476,1981,359,-1,-1,-1
journaldev_journaldev,https://github.com/journaldev/journaldev,JournalDev Projects,29311,295,295,Java,654,565,8,-1,-1,-1
cedardevs_onestop,https://github.com/cedardevs/onestop,OneStop is a data discovery system being built by CIRES researchers on a grant from the NOAA National Centers for Environmental Information.  We welcome contributions from the community!,53825,12,12,JavaScript,9,4277,56,-1,-1,-1
dbadb_2019-DeepSpace,https://github.com/dbadb/2019-DeepSpace,,2442,0,0,Java,2,678,25,-1,-1,-1
shadow-robot_sr-build-tools,https://github.com/shadow-robot/sr-build-tools,Contains build tools and rosinstall files for Shadow Robot's Software.,45945,20,20,Python,7,3530,55,-1,-1,-1
creedexchange1_creedexchange1.github.io,https://github.com/creedexchange1/creedexchange1.github.io,,20107,0,0,JavaScript,0,921,15,-1,-1,-1
HelloLily_hellolily,https://github.com/HelloLily/hellolily,The official Lily project,170837,49,49,Python,17,5734,49,-1,-1,-1
offconvex_offconvex.github.io,https://github.com/offconvex/offconvex.github.io,Off the convex path,23577,53,53,JavaScript,12,677,15,-1,-1,-1
ericmdantas_generator-ng-fullstack,https://github.com/ericmdantas/generator-ng-fullstack,"Client, server or fullstack - it's up to you. ng-fullstack gives you the best of the latest.",2339,703,703,JavaScript,110,1451,34,-1,-1,-1
learn-co-students_javascript-arrays-lab-bootcamp-prep-000,https://github.com/learn-co-students/javascript-arrays-lab-bootcamp-prep-000,,117,2,2,JavaScript,4851,10943,9391,-1,-1,-1
cuckoosandbox_cuckoo,https://github.com/cuckoosandbox/cuckoo,Cuckoo Sandbox is an automated dynamic malware analysis system,50404,3813,3813,JavaScript,1361,10991,513,-1,-1,-1
openstack_charms.openstack,https://github.com/openstack/charms.openstack,Helpers for writing layered+reactive OpenStack Charms,872,10,10,Python,6,510,35,-1,-1,-1
enactjs_cli,https://github.com/enactjs/cli,Full-featured build environment tool for Enact applications,2027,5,5,JavaScript,4,1032,17,-1,-1,-1
socketio_socket.io,https://github.com/socketio/socket.io,Realtime application framework (Node.JS server),12259,46925,46925,JavaScript,8554,3463,569,-1,-1,-1
jadonk_bonescript,https://github.com/jadonk/bonescript,Scripting tools for BeagleBone and PocketBeagle,51902,503,503,JavaScript,161,1431,48,-1,-1,-1
ottomatica_Baker,https://github.com/ottomatica/Baker,👨‍🍳🍞 Quick and easy baking of computing environments.,7587,177,177,JavaScript,9,930,10,-1,-1,-1
dependencies-io_registry,https://github.com/dependencies-io/registry,Registry for dependencies.io components and their available versions,290,0,0,Python,2,1032,3,-1,-1,-1
cryptowatch_cw-sdk-node,https://github.com/cryptowatch/cw-sdk-node,Node.js client for the Cryptowatch Streaming API,674,19,19,JavaScript,2,0,0,-1,-1,-1
ppsreejith_react-native-camera-tflite,https://github.com/ppsreejith/react-native-camera-tflite,Real time image classification with React Native and Tensorflow lite.,10005,15,15,Java,5,1128,283,-1,-1,-1
CyberReboot_NetworkML,https://github.com/CyberReboot/NetworkML,Machine learning plugins for network traffic,81370,32,32,Python,23,0,0,-1,-1,-1
OyvindSabo_steemian,https://github.com/OyvindSabo/steemian,A Steem interface based on Busy.org,68825,0,0,JavaScript,0,5266,61,-1,-1,-1
deeptools_HiCExplorer,https://github.com/deeptools/HiCExplorer,"HiCExplorer is a powerful and easy to use set of tools to process, normalize and visualize Hi-C data.",338809,70,70,Python,40,2659,33,-1,-1,-1
Artyom17_three.js-multiview,https://github.com/Artyom17/three.js-multiview,THREE.js with Multiview support,647332,0,0,JavaScript,0,25930,1368,-1,-1,-1
catseye_Chrysoberyl,https://github.com/catseye/Chrysoberyl,An attempt to catalogue and curate Cat's Eye Technologies,6296,7,7,Python,1,1814,4,-1,-1,-1
fairbird_OpenPLI-TSimage,https://github.com/fairbird/OpenPLI-TSimage,OpenTSimage ... Based on openpli,9848,0,0,Python,1,665,3,-1,-1,-1
