name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
apache_dubbo-admin,https://github.com/apache/dubbo-admin,The ops and reference implementation for Apache Dubbo,13123,1777,1777,Java,832,814,72,-1,-1,-1
arangodb_arangodb-java-driver,https://github.com/arangodb/arangodb-java-driver,ArangoDB Java driver,10768,140,140,Java,68,1610,67,-1,-1,-1
ktuukkan_marine-api,https://github.com/ktuukkan/marine-api,Java Marine API - NMEA 0183 library for Java,5095,127,127,Java,68,968,36,-1,-1,-1
nutzam_nutz,https://github.com/nutzam/nutz,Nutz -- Web Framework(Mvc/Ioc/Aop/Dao/Json) for ALL Java developer,43659,2121,2121,Java,938,6332,150,-1,-1,-1
tada_pljava,https://github.com/tada/pljava,"PL/Java is a free add-on module that brings Java™ Stored Procedures, Triggers, and Functions to the PostgreSQL™ backend.",9647,137,137,Java,49,1342,28,-1,-1,-1
sonatype_nexus-public,https://github.com/sonatype/nexus-public,Sonatype Nexus Repository Manager; Open-source codebase mirror,48574,533,533,Java,239,588,52,-1,-1,-1
spring-cloud_spring-cloud-gateway,https://github.com/spring-cloud/spring-cloud-gateway,A Gateway built on Spring Framework 5.x and Spring Boot 2.x providing routing and more.,6368,1684,1684,Java,1080,3009,132,-1,-1,-1
parse-community_Parse-SDK-Android,https://github.com/parse-community/Parse-SDK-Android,Parse SDK for Android,1853,1618,1618,Java,697,962,103,-1,-1,-1
nroduit_Weasis,https://github.com/nroduit/Weasis,Weasis is a DICOM viewer available as a desktop application  or as a web-based application.,21046,158,158,Java,116,2429,35,-1,-1,-1
reloZid_android-anuto,https://github.com/reloZid/android-anuto,Another ugly tower defense for Android,23073,132,132,Java,42,895,50,-1,-1,-1
jkuhnert_ognl,https://github.com/jkuhnert/ognl,Object Graph Navigation Library,7116,102,102,Java,46,594,29,-1,-1,-1
Vazkii_Botania,https://github.com/Vazkii/Botania,A magic mod for Minecraft based on nature and plant life.,46029,659,659,Java,295,6634,239,-1,-1,-1
ESAPI_esapi-java-legacy,https://github.com/ESAPI/esapi-java-legacy,"ESAPI (The OWASP Enterprise Security API) is a free, open source, web application security control library that makes it easier for programmers to write lower-risk applications.",48035,323,323,Java,209,4170,83,-1,-1,-1
kframework_k,https://github.com/kframework/k,K Framework Tools 5.0,55392,122,122,Java,49,36593,155,-1,-1,-1
google_j2objc,https://github.com/google/j2objc,A Java to iOS Objective-C translation tool and runtime.,81253,5472,5472,Java,773,6368,158,-1,-1,-1
confluentinc_kafka-connect-jdbc,https://github.com/confluentinc/kafka-connect-jdbc,Kafka Connect connector for JDBC-compatible databases,12888,462,462,Java,476,2175,192,-1,-1,-1
ratpack_ratpack,https://github.com/ratpack/ratpack,Lean & powerful HTTP apps,23750,1803,1803,Java,366,6654,239,-1,-1,-1
WayofTime_BloodMagic,https://github.com/WayofTime/BloodMagic,The place where all of my mod stuffs is!,39896,208,208,Java,179,3239,157,-1,-1,-1
dropwizard_dropwizard,https://github.com/dropwizard/dropwizard,A damn simple library for building production-ready RESTful web services.,97024,7257,7257,Java,3048,7487,736,-1,-1,-1
opensourceBIM_BIMserver,https://github.com/opensourceBIM/BIMserver,The open source BIMserver.org platform,626952,672,672,Java,347,8064,60,-1,-1,-1
jmxtrans_jmxtrans,https://github.com/jmxtrans/jmxtrans,jmxtrans,69860,1526,1526,Java,475,2103,252,-1,-1,-1
todoroo_astrid,https://github.com/todoroo/astrid,Astrid: Android's #1 Task Management Application,88840,1070,1070,Java,977,7702,56,-1,-1,-1
frostwire_frostwire,https://github.com/frostwire/frostwire,"An easy to use Cloud Downloader, BitTorrent Client and Media Player. Search, Download, Play, Share",580529,200,200,Java,110,7462,36,-1,-1,-1
spring-cloud_spring-cloud-function,https://github.com/spring-cloud/spring-cloud-function,,3841,514,514,Java,180,1317,53,-1,-1,-1
iDevicesInc_SweetBlue,https://github.com/iDevicesInc/SweetBlue,"BLE on Android, the easy way. THIS IS NOW DEPRECATED. Please visit website for info on new versions.",53405,313,313,Java,49,2013,29,-1,-1,-1
SonarSource_sonar-scanner-jenkins,https://github.com/SonarSource/sonar-scanner-jenkins,SonarQube Scanner for Jenkins,1443,124,124,Java,176,1047,89,-1,-1,-1
signalapp_Signal-Server,https://github.com/signalapp/Signal-Server,,1568,1569,1569,Java,563,776,58,-1,-1,-1
igniterealtime_Spark,https://github.com/igniterealtime/Spark,Cross-platform real-time collaboration client optimized for business and organizations.,372520,421,421,Java,351,3787,98,-1,-1,-1
hacktoberfest17_programming,https://github.com/hacktoberfest17/programming,Code a program in a language of your choice. ,46431,253,253,Java,732,3312,1075,-1,-1,-1
OpenFeign_feign,https://github.com/OpenFeign/feign,Feign makes writing java http clients easier,2729,4637,4637,Java,945,1958,317,-1,-1,-1
selenide_selenide,https://github.com/selenide/selenide,Concise UI Tests with Java!,9089,987,987,Java,327,3698,184,-1,-1,-1
JavaOPs_topjava,https://github.com/JavaOPs/topjava,Java Enterprise: Maven/ Spring/ Security/ JPA(Hibernate)/ REST(Jackson)/ Bootstrap(CSS)/ jQuery,64,146,146,Java,1660,1247,86,-1,-1,-1
citrusframework_citrus,https://github.com/citrusframework/citrus,Framework for automated integration tests with focus on messaging integration,70421,282,282,Java,117,4368,81,-1,-1,-1
sarxos_webcam-capture,https://github.com/sarxos/webcam-capture,"The goal of this project is to allow integrated or USB-connected webcams to be accessed directly from Java. Using provided libraries users are able to read camera images and detect motion. Main project consist of several sub projects - the root one, which contains required classes, build-in webcam driver compatible with Windows, Linux and Mac OS, which can stream images as fast as your camera can serve them (up to 50 FPS). Main project can be used standalone, but user is able to replace build-in driver with different one - such as OpenIMAJ, GStreamer, V4L4j, JMF, LTI-CIVIL, FMJ, etc.",23624,1535,1535,Java,935,736,42,-1,-1,-1
Netflix_spectator,https://github.com/Netflix/spectator,Client library for collecting metrics.,15318,496,496,Java,101,1551,61,-1,-1,-1
hypercube1024_firefly,https://github.com/hypercube1024/firefly,Firefly is an asynchronous web framework for rapid development of high-performance web application.,28378,256,256,Java,114,2692,12,-1,-1,-1
apache_hive,https://github.com/apache/hive,Apache Hive,474082,2621,2621,Java,2583,28822,676,-1,-1,-1
palatable_lambda,https://github.com/palatable/lambda,Functional patterns for Java,3892,566,566,Java,44,658,12,-1,-1,-1
apache_tez,https://github.com/apache/tez,Mirror of Apache Tez,26896,232,232,Java,240,3961,72,-1,-1,-1
react-native-community_react-native-svg,https://github.com/react-native-community/react-native-svg,"SVG library for React Native, React Native Web, and plain React web projects.",12814,3767,3767,Java,506,1572,196,-1,-1,-1
